view,embedding_variant,backbone,preprocessing,embedding_dim,temporal_mode,classifier,held_out_patient,train_anchor_samples,valid_all_samples,valid_anchor_samples,training_seconds,sample_accuracy,sample_balanced_accuracy,sample_precision_macro,sample_recall_macro,sample_f1_macro,sample_samples,sample_blurry_precision,sample_blurry_recall,sample_blurry_f1,sample_blurry_support,sample_clear_precision,sample_clear_recall,sample_clear_f1,sample_clear_support,video_accuracy,video_balanced_accuracy,video_precision_macro,video_recall_macro,video_f1_macro,video_samples,video_blurry_precision,video_blurry_recall,video_blurry_f1,video_blurry_support,video_clear_precision,video_clear_recall,video_clear_f1,video_clear_support
transversal,small_full,small,full,384,frame,logistic_regression,P001,84,63,42,0.037580100004561245,0.8095238095238095,0.8095238095238095,0.8620689655172413,0.8095238095238095,0.8023529411764705,42,1.0,0.6190476190476191,0.7647058823529411,21,0.7241379310344828,1.0,0.84,21,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1,1.0,1.0,1.0,1
transversal,small_full,small,full,384,frame,svm_rbf,P001,84,63,42,0.0066312000271864235,0.7857142857142857,0.7857142857142857,0.85,0.7857142857142857,0.7754010695187166,42,1.0,0.5714285714285714,0.7272727272727273,21,0.7,1.0,0.8235294117647058,21,0.5,0.5,0.25,0.5,0.3333333333333333,2,0.0,0.0,0.0,1,0.5,1.0,0.6666666666666666,1
transversal,small_full,small,full,384,frame,random_forest,P001,84,63,42,0.7639997999649495,0.8095238095238095,0.8095238095238095,0.8620689655172413,0.8095238095238095,0.8023529411764705,42,1.0,0.6190476190476191,0.7647058823529411,21,0.7241379310344828,1.0,0.84,21,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1,1.0,1.0,1.0,1
transversal,small_full,small,full,384,frame,knn,P001,84,63,42,0.003935800050385296,0.7142857142857143,0.7142857142857143,0.8181818181818181,0.7142857142857143,0.6888888888888889,42,1.0,0.42857142857142855,0.6,21,0.6363636363636364,1.0,0.7777777777777778,21,0.5,0.5,0.25,0.5,0.3333333333333333,2,0.0,0.0,0.0,1,0.5,1.0,0.6666666666666666,1
transversal,small_full,small,full,384,frame,logistic_regression,P002,84,63,42,0.011684099968988448,0.8809523809523809,0.8809523809523809,0.9038461538461539,0.8809523809523809,0.8792409430707303,42,0.8076923076923077,1.0,0.8936170212765957,21,1.0,0.7619047619047619,0.8648648648648649,21,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1,1.0,1.0,1.0,1
transversal,small_full,small,full,384,frame,svm_rbf,P002,84,63,42,0.0034623999963514507,0.8571428571428571,0.8571428571428572,0.8888888888888888,0.8571428571428572,0.8541666666666667,42,0.7777777777777778,1.0,0.875,21,1.0,0.7142857142857143,0.8333333333333334,21,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1,1.0,1.0,1.0,1
transversal,small_full,small,full,384,frame,random_forest,P002,84,63,42,0.827657799993176,0.8333333333333334,0.8333333333333333,0.875,0.8333333333333333,0.8285714285714285,42,0.75,1.0,0.8571428571428571,21,1.0,0.6666666666666666,0.8,21,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1,1.0,1.0,1.0,1
transversal,small_full,small,full,384,frame,knn,P002,84,63,42,0.0016604999545961618,0.8333333333333334,0.8333333333333333,0.875,0.8333333333333333,0.8285714285714285,42,0.75,1.0,0.8571428571428571,21,1.0,0.6666666666666666,0.8,21,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1,1.0,1.0,1.0,1
transversal,small_full,small,full,384,frame,logistic_regression,P003,84,63,42,0.008939399966038764,0.9047619047619048,0.9047619047619048,0.9199999999999999,0.9047619047619048,0.9038901601830663,42,0.84,1.0,0.9130434782608695,21,1.0,0.8095238095238095,0.8947368421052632,21,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1,1.0,1.0,1.0,1
transversal,small_full,small,full,384,frame,svm_rbf,P003,84,63,42,0.0029409999842755497,0.8333333333333334,0.8333333333333333,0.8533653846153846,0.8333333333333333,0.8309373202990225,42,0.7692307692307693,0.9523809523809523,0.851063829787234,21,0.9375,0.7142857142857143,0.8108108108108109,21,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1,1.0,1.0,1.0,1
