experiment_name,evaluation_split,class_name,architecture,epochs,image_size,resize_mode,augmentation,sampling_strategy,pretrained,split_strategy,seed,early_stopping_patience,checkpoint_min_delta,timestamp,experiment_path,result_status,best_epoch,checkpoint_metric,checkpoint_score,valid_images,valid_dice,valid_iou,valid_precision,valid_recall,valid_f1,valid_mean_gt_area_px,valid_mean_pred_area_px,valid_positive_images,valid_empty_gt_images,valid_positive_dice,valid_positive_iou,valid_positive_precision,valid_positive_recall,valid_empty_gt_false_positive_images,valid_empty_gt_false_positive_rate,valid_empty_gt_mean_pred_area_px,valid_positive_mean_gt_area_px,valid_positive_mean_pred_area_px,valid_combined_la_score,valid_loss,test_images,test_dice,test_iou,test_precision,test_recall,test_f1,test_mean_gt_area_px,test_mean_pred_area_px,test_positive_images,test_empty_gt_images,test_positive_dice,test_positive_iou,test_positive_precision,test_positive_recall,test_empty_gt_false_positive_images,test_empty_gt_false_positive_rate,test_empty_gt_mean_pred_area_px,test_positive_mean_gt_area_px,test_positive_mean_pred_area_px,test_combined_la_score,test_loss,parameter_count,checkpoint_path
deeplabv3_higado_50ep_group_video_earlystop,validation,Higado,deeplabv3,50,512,full_resize,none,natural,False,group_video,42,10,0.0001,2026-06-28T21:52:05,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\deeplabv3_higado_50ep_group_video_earlystop,controlled_experimental,9.0,dice,0.9222784293170022,202.0,0.9222784293170022,0.859855585759229,0.9103377812569684,0.9380360765032248,0.9222784293170022,33851.96534653466,34797.24752475248,202.0,0.0,0.9222784293170022,0.859855585759229,0.9103377812569684,0.9380360765032248,0.0,0.0,0.0,33851.96534653466,34797.24752475248,0.9222784293170022,0.1666930862656324,,,,,,,,,,,,,,,,,,,,,,,
deeplabv3_higado_50ep_group_video_earlystop,test,Higado,deeplabv3,50,512,full_resize,none,natural,False,group_video,42,10,0.0001,2026-06-28T21:52:05,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\deeplabv3_higado_50ep_group_video_earlystop,controlled_experimental,,,,,,,,,,,,,,,,,,,,,,,,,101.0,0.9353656674375628,0.8803445620111899,0.9183175510699206,0.954795236044591,0.9353656674375628,28581.712871287127,29772.0099009901,101.0,0.0,0.9353656674375628,0.8803445620111899,0.9183175510699206,0.954795236044591,0.0,0.0,0.0,28581.712871287127,29772.0099009901,0.9353656674375628,0.1330128474400775,22437457.0,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\deeplabv3_higado_50ep_group_video_earlystop\best_model.pth
deeplabv3_higado_pretrained_imagenet_50ep,validation,Higado,deeplabv3,50,512,full_resize,none,natural,True,group_video,42,10,0.0001,2026-06-29T01:45:32,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\deeplabv3_higado_pretrained_imagenet_50ep,controlled_experimental,4.0,dice,0.9327811775821272,202.0,0.9327811775821272,0.8767711803464606,0.9242188511508528,0.9456131596966544,0.9327811775821272,33851.96534653466,34515.232673267325,202.0,0.0,0.9327811775821272,0.8767711803464606,0.9242188511508528,0.9456131596966544,0.0,0.0,0.0,33851.96534653466,34515.232673267325,0.9327811775821272,0.1446017404962884,,,,,,,,,,,,,,,,,,,,,,,
deeplabv3_higado_pretrained_imagenet_50ep,test,Higado,deeplabv3,50,512,full_resize,none,natural,True,group_video,42,10,0.0001,2026-06-29T01:45:32,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\deeplabv3_higado_pretrained_imagenet_50ep,controlled_experimental,,,,,,,,,,,,,,,,,,,,,,,,,101.0,0.941616927633191,0.8901949790444704,0.9401988758899198,0.943857753630912,0.941616927633191,28581.712871287127,28698.86138613861,101.0,0.0,0.941616927633191,0.8901949790444704,0.9401988758899198,0.943857753630912,0.0,0.0,0.0,28581.712871287127,28698.86138613861,0.941616927633191,0.1225447406863222,22437457.0,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\deeplabv3_higado_pretrained_imagenet_50ep\best_model.pth
deeplabv3_la_50ep_group_video_balanced,validation,LA,deeplabv3,50,512,full_resize,none,balanced_la,False,group_video,42,15,0.0001,2026-06-28T22:06:55,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\deeplabv3_la_50ep_group_video_balanced,controlled_experimental,3.0,combined_la_score,-0.0371816950019008,202.0,0.488005625154971,0.4752686748271167,0.4857089624407493,0.9625157334721914,0.488005625154971,89.82178217821782,194.69306930693068,16.0,186.0,0.4735709931701422,0.312766995280981,0.4445756264030933,0.5267611350864172,95.0,0.510752688172043,98.4516129032258,1134.0,1313.5,-0.0371816950019008,0.9675955335692604,,,,,,,,,,,,,,,,,,,,,,,
deeplabv3_la_50ep_group_video_balanced,test,LA,deeplabv3,50,512,full_resize,none,balanced_la,False,group_video,42,15,0.0001,2026-06-28T22:06:55,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\deeplabv3_la_50ep_group_video_balanced,controlled_experimental,,,,,,,,,,,,,,,,,,,,,,,,,101.0,0.6032467559388363,0.5426294108394343,0.5902183201735443,0.9170161695233016,0.6032467559388363,410.7920792079208,473.940594059406,55.0,46.0,0.7986894911066252,0.687374002833178,0.7747645454285434,0.8476115113064264,29.0,0.6304347826086957,48.43478260869565,754.3636363636364,829.8181818181819,0.1682547084979295,0.5718773575407443,22437457.0,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\deeplabv3_la_50ep_group_video_balanced\best_model.pth
deeplabv3_roi_50ep_group_video_earlystop,validation,ROI,deeplabv3,50,512,full_resize,none,natural,False,group_video,42,10,0.0001,2026-06-28T21:39:53,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\deeplabv3_roi_50ep_group_video_earlystop,controlled_experimental,3.0,dice,0.994849184362015,202.0,0.994849184362015,0.9897990772629728,0.996441671163729,0.9932725650839286,0.994849184362015,79726.0,79471.71287128713,202.0,0.0,0.994849184362015,0.9897990772629728,0.996441671163729,0.9932725650839286,0.0,0.0,0.0,79726.0,79471.71287128713,0.994849184362015,0.0156987103366173,,,,,,,,,,,,,,,,,,,,,,,
deeplabv3_roi_50ep_group_video_earlystop,test,ROI,deeplabv3,50,512,full_resize,none,natural,False,group_video,42,10,0.0001,2026-06-28T21:39:53,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\deeplabv3_roi_50ep_group_video_earlystop,controlled_experimental,,,,,,,,,,,,,,,,,,,,,,,,,101.0,0.9927392596065407,0.9855833732255614,0.9995407190653356,0.9860299288636388,0.9927392596065407,80788.0,79695.9900990099,101.0,0.0,0.9927392596065407,0.9855833732255614,0.9995407190653356,0.9860299288636388,0.0,0.0,0.0,80788.0,79695.9900990099,0.9927392596065407,0.0378615484379305,22437457.0,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\deeplabv3_roi_50ep_group_video_earlystop\best_model.pth
deeplabv3_roi_pretrained_imagenet_50ep,validation,ROI,deeplabv3,50,512,full_resize,none,natural,True,group_video,42,10,0.0001,2026-06-29T01:22:21,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\deeplabv3_roi_pretrained_imagenet_50ep,controlled_experimental,8.0,dice,0.9947925670312184,202.0,0.9947925670312184,0.9896989703768552,0.995471185386771,0.9941428123724344,0.9947925670312184,79726.0,79620.18316831683,202.0,0.0,0.9947925670312184,0.9896989703768552,0.995471185386771,0.9941428123724344,0.0,0.0,0.0,79726.0,79620.18316831683,0.9947925670312184,0.0202593254985859,,,,,,,,,,,,,,,,,,,,,,,
deeplabv3_roi_pretrained_imagenet_50ep,test,ROI,deeplabv3,50,512,full_resize,none,natural,True,group_video,42,10,0.0001,2026-06-29T01:22:21,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\deeplabv3_roi_pretrained_imagenet_50ep,controlled_experimental,,,,,,,,,,,,,,,,,,,,,,,,,101.0,0.9929242529491388,0.9859479606741726,0.999406667038946,0.9865254222756564,0.9929242529491388,80788.0,79746.73267326732,101.0,0.0,0.9929242529491388,0.9859479606741726,0.999406667038946,0.9865254222756564,0.0,0.0,0.0,80788.0,79746.73267326732,0.9929242529491388,0.0558596332695814,22437457.0,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\deeplabv3_roi_pretrained_imagenet_50ep\best_model.pth
