mask_threshold,scenario,clear_accepted,medium_accepted,blurry_accepted,tp,fn,fp,tn,sensitivity_pct,specificity_pct,balanced_accuracy_pct
0.1,complete_rule,0,0,0,0,101,0,101,0.0,100.0,50.0
0.1,without_roi_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.1,without_liver_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.1,without_liver_ratio,0,0,0,0,101,0,101,0.0,100.0,50.0
0.1,without_la_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.1,without_la_minimum_area,0,9,0,0,101,0,101,0.0,100.0,50.0
0.1,without_la_standard_deviation,0,0,0,0,101,0,101,0.0,100.0,50.0
0.1,without_glcm_entropy,0,0,0,0,101,0,101,0.0,100.0,50.0
0.1,without_border_evidence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.1,without_all_la_dependent_conditions,101,101,101,101,0,101,0,100.0,0.0,50.0
0.2,complete_rule,0,0,0,0,101,0,101,0.0,100.0,50.0
0.2,without_roi_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.2,without_liver_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.2,without_liver_ratio,0,0,0,0,101,0,101,0.0,100.0,50.0
0.2,without_la_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.2,without_la_minimum_area,0,7,0,0,101,0,101,0.0,100.0,50.0
0.2,without_la_standard_deviation,0,0,0,0,101,0,101,0.0,100.0,50.0
0.2,without_glcm_entropy,0,0,0,0,101,0,101,0.0,100.0,50.0
0.2,without_border_evidence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.2,without_all_la_dependent_conditions,101,101,101,101,0,101,0,100.0,0.0,50.0
0.3,complete_rule,0,0,0,0,101,0,101,0.0,100.0,50.0
0.3,without_roi_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.3,without_liver_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.3,without_liver_ratio,0,0,0,0,101,0,101,0.0,100.0,50.0
0.3,without_la_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.3,without_la_minimum_area,0,7,0,0,101,0,101,0.0,100.0,50.0
0.3,without_la_standard_deviation,0,0,0,0,101,0,101,0.0,100.0,50.0
0.3,without_glcm_entropy,0,0,0,0,101,0,101,0.0,100.0,50.0
0.3,without_border_evidence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.3,without_all_la_dependent_conditions,101,101,101,101,0,101,0,100.0,0.0,50.0
0.4,complete_rule,0,0,0,0,101,0,101,0.0,100.0,50.0
0.4,without_roi_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.4,without_liver_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.4,without_liver_ratio,0,0,0,0,101,0,101,0.0,100.0,50.0
0.4,without_la_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.4,without_la_minimum_area,0,7,0,0,101,0,101,0.0,100.0,50.0
0.4,without_la_standard_deviation,0,0,0,0,101,0,101,0.0,100.0,50.0
0.4,without_glcm_entropy,0,0,0,0,101,0,101,0.0,100.0,50.0
0.4,without_border_evidence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.4,without_all_la_dependent_conditions,101,101,101,101,0,101,0,100.0,0.0,50.0
0.5,complete_rule,0,0,0,0,101,0,101,0.0,100.0,50.0
0.5,without_roi_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.5,without_liver_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.5,without_liver_ratio,0,0,0,0,101,0,101,0.0,100.0,50.0
0.5,without_la_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.5,without_la_minimum_area,0,7,0,0,101,0,101,0.0,100.0,50.0
0.5,without_la_standard_deviation,0,0,0,0,101,0,101,0.0,100.0,50.0
0.5,without_glcm_entropy,0,0,0,0,101,0,101,0.0,100.0,50.0
0.5,without_border_evidence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.5,without_all_la_dependent_conditions,101,101,101,101,0,101,0,100.0,0.0,50.0
0.6,complete_rule,0,0,0,0,101,0,101,0.0,100.0,50.0
0.6,without_roi_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.6,without_liver_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.6,without_liver_ratio,0,0,0,0,101,0,101,0.0,100.0,50.0
0.6,without_la_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.6,without_la_minimum_area,0,6,0,0,101,0,101,0.0,100.0,50.0
0.6,without_la_standard_deviation,0,0,0,0,101,0,101,0.0,100.0,50.0
0.6,without_glcm_entropy,0,0,0,0,101,0,101,0.0,100.0,50.0
0.6,without_border_evidence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.6,without_all_la_dependent_conditions,101,101,101,101,0,101,0,100.0,0.0,50.0
0.7,complete_rule,0,0,0,0,101,0,101,0.0,100.0,50.0
0.7,without_roi_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.7,without_liver_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.7,without_liver_ratio,0,0,0,0,101,0,101,0.0,100.0,50.0
0.7,without_la_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.7,without_la_minimum_area,0,6,0,0,101,0,101,0.0,100.0,50.0
0.7,without_la_standard_deviation,0,0,0,0,101,0,101,0.0,100.0,50.0
0.7,without_glcm_entropy,0,0,0,0,101,0,101,0.0,100.0,50.0
0.7,without_border_evidence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.7,without_all_la_dependent_conditions,101,101,101,101,0,101,0,100.0,0.0,50.0
0.8,complete_rule,0,0,0,0,101,0,101,0.0,100.0,50.0
0.8,without_roi_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.8,without_liver_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.8,without_liver_ratio,0,0,0,0,101,0,101,0.0,100.0,50.0
0.8,without_la_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.8,without_la_minimum_area,0,4,0,0,101,0,101,0.0,100.0,50.0
0.8,without_la_standard_deviation,0,0,0,0,101,0,101,0.0,100.0,50.0
0.8,without_glcm_entropy,0,0,0,0,101,0,101,0.0,100.0,50.0
0.8,without_border_evidence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.8,without_all_la_dependent_conditions,101,101,101,101,0,101,0,100.0,0.0,50.0
0.9,complete_rule,0,0,0,0,101,0,101,0.0,100.0,50.0
0.9,without_roi_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.9,without_liver_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.9,without_liver_ratio,0,0,0,0,101,0,101,0.0,100.0,50.0
0.9,without_la_presence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.9,without_la_minimum_area,0,2,0,0,101,0,101,0.0,100.0,50.0
0.9,without_la_standard_deviation,0,0,0,0,101,0,101,0.0,100.0,50.0
0.9,without_glcm_entropy,0,0,0,0,101,0,101,0.0,100.0,50.0
0.9,without_border_evidence,0,0,0,0,101,0,101,0.0,100.0,50.0
0.9,without_all_la_dependent_conditions,101,101,101,101,0,101,0,100.0,0.0,50.0
