omitted_gate,quality,records,raw_accepted
none,clear,101,0
none,medium,101,0
none,blurry,101,0
roi_present,clear,101,0
roi_present,medium,101,0
roi_present,blurry,101,0
liver_present,clear,101,0
liver_present,medium,101,0
liver_present,blurry,101,0
liver_ratio,clear,101,0
liver_ratio,medium,101,0
liver_ratio,blurry,101,0
la_present,clear,101,0
la_present,medium,101,0
la_present,blurry,101,0
la_area,clear,101,0
la_area,medium,101,7
la_area,blurry,101,0
la_std,clear,101,0
la_std,medium,101,0
la_std,blurry,101,0
la_entropy,clear,101,0
la_entropy,medium,101,0
la_entropy,blurry,101,0
border,clear,101,0
border,medium,101,0
border,blurry,101,0
