mask_threshold,quality,frames,roi_present,liver_present,raw_la_nonempty,raw_la_max_px,clean_la_nonempty,clean_la_max_px,la_present,base_lumen_rule,border_evidence,raw_capture,tp,fn,fp,tn,sensitivity_pct,specificity_pct,balanced_accuracy_pct
0.1,clear,101,101,101,0,0,0,0,0,0,0,0,0,101,0,101,0.0,100.0,50.0
0.1,medium,101,101,101,14,217,13,217,9,0,13,0,0,101,0,101,0.0,100.0,50.0
0.1,blurry,101,101,101,30,51,22,42,0,0,21,0,0,101,0,101,0.0,100.0,50.0
0.2,clear,101,101,101,0,0,0,0,0,0,0,0,0,101,0,101,0.0,100.0,50.0
0.2,medium,101,101,101,12,182,12,182,7,0,12,0,0,101,0,101,0.0,100.0,50.0
0.2,blurry,101,101,101,22,32,13,31,0,0,13,0,0,101,0,101,0.0,100.0,50.0
0.3,clear,101,101,101,0,0,0,0,0,0,0,0,0,101,0,101,0.0,100.0,50.0
0.3,medium,101,101,101,12,162,12,162,7,0,12,0,0,101,0,101,0.0,100.0,50.0
0.3,blurry,101,101,101,17,25,10,25,0,0,10,0,0,101,0,101,0.0,100.0,50.0
0.4,clear,101,101,101,0,0,0,0,0,0,0,0,0,101,0,101,0.0,100.0,50.0
0.4,medium,101,101,101,12,145,11,145,7,0,11,0,0,101,0,101,0.0,100.0,50.0
0.4,blurry,101,101,101,12,22,9,22,0,0,9,0,0,101,0,101,0.0,100.0,50.0
0.5,clear,101,101,101,0,0,0,0,0,0,0,0,0,101,0,101,0.0,100.0,50.0
0.5,medium,101,101,101,12,134,11,134,7,0,11,0,0,101,0,101,0.0,100.0,50.0
0.5,blurry,101,101,101,9,18,7,18,0,0,7,0,0,101,0,101,0.0,100.0,50.0
0.6,clear,101,101,101,0,0,0,0,0,0,0,0,0,101,0,101,0.0,100.0,50.0
0.6,medium,101,101,101,11,118,11,118,6,0,11,0,0,101,0,101,0.0,100.0,50.0
0.6,blurry,101,101,101,9,13,6,13,0,0,6,0,0,101,0,101,0.0,100.0,50.0
0.7,clear,101,101,101,0,0,0,0,0,0,0,0,0,101,0,101,0.0,100.0,50.0
0.7,medium,101,101,101,11,109,9,109,6,0,9,0,0,101,0,101,0.0,100.0,50.0
0.7,blurry,101,101,101,8,10,3,10,0,0,3,0,0,101,0,101,0.0,100.0,50.0
0.8,clear,101,101,101,0,0,0,0,0,0,0,0,0,101,0,101,0.0,100.0,50.0
0.8,medium,101,101,101,11,93,9,93,4,0,9,0,0,101,0,101,0.0,100.0,50.0
0.8,blurry,101,101,101,5,6,0,0,0,0,0,0,0,101,0,101,0.0,100.0,50.0
0.9,clear,101,101,101,0,0,0,0,0,0,0,0,0,101,0,101,0.0,100.0,50.0
0.9,medium,101,101,101,9,73,7,73,2,0,7,0,0,101,0,101,0.0,100.0,50.0
0.9,blurry,101,101,101,0,0,0,0,0,0,0,0,0,101,0,101,0.0,100.0,50.0
